flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
CROSSING_A,0.000000,36.089794,-79.946874,0.000000
CROSSING_B,0.000000,36.093492,-79.944899,0.000000
CROSSING_A,10.000000,36.090952,-79.945173,0.000000
CROSSING_B,10.000000,36.092801,-79.944186,0.000000
CROSSING_B,15.000000,36.092456,-79.943829,0.000000
CROSSING_A,20.000000,36.092111,-79.943472,0.000000
CROSSING_B,20.000000,36.092111,-79.943472,0.000000
CROSSING_B,25.000000,36.091766,-79.943115,0.000000
CROSSING_A,30.000000,36.093270,-79.941771,0.000000
CROSSING_B,30.000000,36.091421,-79.942758,0.000000
CROSSING_A,40.000000,36.094428,-79.940070,0.000000
CROSSING_B,40.000000,36.090730,-79.942045,0.000000
CROSSING_A,50.000000,36.095587,-79.938368,0.000000
CROSSING_B,50.000000,36.090040,-79.941331,0.000000
CROSSING_A,60.000000,36.096745,-79.936667,0.000000
CROSSING_B,60.000000,36.089350,-79.940617,0.000000
