flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
GOAROUND_A,0.000000,36.088635,-79.948576,0.000000
GOAROUND_B,0.000000,36.091995,-79.943642,0.000000
GOAROUND_A,10.000000,36.089794,-79.946874,0.000000
GOAROUND_B,10.000000,36.092053,-79.943557,0.000000
GOAROUND_A,20.000000,36.090952,-79.945173,0.000000
GOAROUND_B,20.000000,36.092111,-79.943472,0.000000
GOAROUND_A,30.000000,36.091532,-79.944323,0.000000
GOAROUND_B,30.000000,36.092111,-79.943472,0.000000
GOAROUND_A,40.000000,36.092111,-79.943472,0.000000
GOAROUND_B,40.000000,36.092111,-79.943472,0.000000
GOAROUND_A,50.000000,36.092690,-79.942621,0.000000
GOAROUND_B,50.000000,36.092111,-79.943472,0.000000
GOAROUND_A,60.000000,36.093559,-79.941345,0.000000
GOAROUND_B,60.000000,36.092111,-79.943472,0.000000
GOAROUND_A,70.000000,36.094428,-79.940070,0.000000
GOAROUND_B,70.000000,36.092111,-79.943472,0.000000
GOAROUND_A,80.000000,36.095297,-79.938794,0.000000
GOAROUND_B,80.000000,36.092111,-79.943472,0.000000
GOAROUND_A,90.000000,36.096166,-79.937518,0.000000
