flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
HEAD_ON_A,0.000000,36.088635,-79.948576,0.000000
HEAD_ON_B,0.000000,36.095587,-79.938368,0.000000
HEAD_ON_A,10.000000,36.089794,-79.946874,0.000000
HEAD_ON_B,10.000000,36.094428,-79.940070,0.000000
HEAD_ON_A,20.000000,36.090952,-79.945173,0.000000
HEAD_ON_B,20.000000,36.093270,-79.941771,0.000000
HEAD_ON_A,30.000000,36.091532,-79.944323,0.000000
HEAD_ON_B,30.000000,36.092690,-79.942621,0.000000
HEAD_ON_A,35.000000,36.091821,-79.943897,0.000000
HEAD_ON_B,35.000000,36.092401,-79.943047,0.000000
HEAD_ON_A,40.000000,36.092111,-79.943472,0.000000
HEAD_ON_B,40.000000,36.092111,-79.943472,0.000000
HEAD_ON_A,45.000000,36.092401,-79.943047,0.000000
HEAD_ON_B,45.000000,36.091821,-79.943897,0.000000
HEAD_ON_A,50.000000,36.092690,-79.942621,0.000000
HEAD_ON_B,50.000000,36.091532,-79.944323,0.000000
