flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
RWY_A,0,36.0927472,-79.9425473,275
RWY_B,0,36.1085028,-79.9224805,275
RWY_A,30,36.0957014,-79.9387847,275
RWY_B,30,36.1055486,-79.9262431,275
RWY_A,60,36.0986556,-79.9350222,275
RWY_B,60,36.1025944,-79.9300056,275
RWY_A,90,36.100625,-79.9325139,275
RWY_B,90,36.100625,-79.9325139,275
RWY_A,120,36.1025944,-79.9300056,275
RWY_B,120,36.0986556,-79.9350222,275
RWY_A,150,36.1045639,-79.9274972,275
RWY_B,150,36.0966861,-79.9375306,275
RWY_A,180,36.1065333,-79.9249889,275
RWY_B,180,36.0947167,-79.9400389,275
RWY_A,210,36.1085028,-79.9224805,275
RWY_B,210,36.0931411,-79.9420456,275
RWY_A,240,36.1100783,-79.9204739,275
RWY_B,240,36.0927472,-79.9425473,275
TX1,0,36.0921511,-79.9442647,275
TX1,30,36.0951053,-79.9405022,275
TX1,60,36.0980595,-79.9367397,275
TX1,90,36.1000289,-79.9342314,275
TX1,120,36.1019983,-79.931723,275
TX1,150,36.1039678,-79.9292147,275
TX1,180,36.1059372,-79.9267064,275
TX1,210,36.1079067,-79.924198,275
TX1,240,36.1098761,-79.9216897,275
TX2,0,36.1014802,-79.9311053,275
TX2,30,36.1016097,-79.9312597,275
TX2,60,36.1017393,-79.9314142,275
TX2,90,36.1018688,-79.9315686,275
TX2,120,36.1019983,-79.931723,275
TX2,150,36.1021279,-79.9318775,275
TX2,180,36.1022574,-79.9320319,275
TX2,210,36.102387,-79.9321863,275
TX2,240,36.1025165,-79.9323408,275
GATE1,0,36.0961416,-79.9417377,275
GATE1,30,36.0960445,-79.9416219,275
GATE1,60,36.0959473,-79.941506,275
GATE1,90,36.0958825,-79.9414288,275
GATE1,120,36.0958178,-79.9413516,275
GATE1,150,36.0957854,-79.941313,275
GATE1,180,36.0957692,-79.9412937,275
GATE1,210,36.0957595,-79.9412821,275
GATE1,240,36.0957562,-79.9412782,275
INCUR1,0,36.0996535,-79.9313556,275
INCUR1,30,36.0999125,-79.9316645,275
INCUR1,60,36.1001716,-79.9319734,275
INCUR1,90,36.1004307,-79.9322822,275
INCUR1,120,36.1006898,-79.9325911,275
INCUR1,150,36.1009488,-79.9329,275
INCUR1,180,36.1012079,-79.9332089,275
INCUR1,210,36.101467,-79.9335177,275
INCUR1,240,36.1017261,-79.9338266,275
INCUR2,0,36.0935245,-79.9434739,275
INCUR2,30,36.0951,-79.9414672,275
INCUR2,60,36.0962817,-79.9399622,275
INCUR2,90,36.0970695,-79.9389588,275
INCUR2,120,36.0974634,-79.9384572,275
INCUR2,150,36.0978572,-79.9379555,275
INCUR2,180,36.098645,-79.9369522,275
INCUR2,210,36.0994328,-79.9359488,275
INCUR2,240,36.1006145,-79.9344438,275
