flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
TAIL_A,0.000000,36.089215,-79.947725,0.000000
TAIL_A,10.000000,36.090373,-79.946024,0.000000
TAIL_A,20.000000,36.091532,-79.944323,0.000000
TAIL_A,30.000000,36.092690,-79.942621,0.000000
TAIL_A,40.000000,36.093849,-79.940920,0.000000
TAIL_A,50.000000,36.095007,-79.939219,0.000000
TAIL_B,0.000000,36.089099,-79.947895,0.000000
TAIL_B,10.000000,36.090257,-79.946194,0.000000
TAIL_B,20.000000,36.091416,-79.944493,0.000000
TAIL_B,30.000000,36.092574,-79.942792,0.000000
TAIL_B,40.000000,36.093733,-79.941090,0.000000
TAIL_B,50.000000,36.094892,-79.939389,0.000000
