flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
WINGTIP_A,0.000000,36.090373,-79.946024,0.000000
WINGTIP_B,0.000000,36.092939,-79.944328,0.000000
WINGTIP_A,10.000000,36.091242,-79.944748,0.000000
WINGTIP_B,10.000000,36.092525,-79.943900,0.000000
WINGTIP_B,15.000000,36.092318,-79.943686,0.000000
WINGTIP_A,20.000000,36.092111,-79.943472,0.000000
WINGTIP_B,20.000000,36.092111,-79.943472,0.000000
WINGTIP_B,25.000000,36.091904,-79.943258,0.000000
WINGTIP_A,30.000000,36.092980,-79.942196,0.000000
WINGTIP_B,30.000000,36.091697,-79.943044,0.000000
WINGTIP_A,40.000000,36.093849,-79.940920,0.000000
WINGTIP_B,40.000000,36.091283,-79.942616,0.000000
WINGTIP_A,50.000000,36.094718,-79.939644,0.000000
WINGTIP_B,50.000000,36.090868,-79.942187,0.000000
WINGTIP_A,60.000000,36.095587,-79.938368,0.000000
WINGTIP_B,60.000000,36.090454,-79.941759,0.000000
