flight_id,seconds_since_midnight,latitude_deg,longitude_deg,altitude_m
RW1_A,0,36.0929663,-79.9422234,275
RW1_B,0,36.108234,-79.9227449,275
RW1_A,30,36.095829,-79.9385712,275
RW1_B,30,36.1053713,-79.9263971,275
RW1_A,60,36.0986917,-79.9349189,275
RW1_B,60,36.1025086,-79.9300493,275
RW1_A,90,36.1006001,-79.9324841,275
RW1_B,90,36.1006001,-79.9324841,275
RW1_A,120,36.1021269,-79.9305363,275
RW1_B,120,36.0990734,-79.934432,275
RW1_A,150,36.1040354,-79.9281015,275
RW1_B,150,36.0971649,-79.9368668,275
RW1_A,180,36.1059438,-79.9256666,275
RW1_B,180,36.0952564,-79.9393016,275
RW1_A,210,36.1078523,-79.9232318,275
RW1_B,210,36.0937297,-79.9412495,275
RW1_A,240,36.1093791,-79.921284,275
RW1_B,240,36.0929663,-79.9422234,275
RW2_Front,0,36.1001179,-79.9579542,275
RW2_Back,0,36.0992526,-79.959042,275
RW2_Front,30,36.102351,-79.9551058,275
RW2_Back,30,36.1013139,-79.9564128,275
RW2_Front,60,36.1047559,-79.9520384,275
RW2_Back,60,36.1037188,-79.9533453,275
RW2_Front,90,36.106989,-79.94919,275
RW2_Back,90,36.1061236,-79.9502778,275
RW2_Front,120,36.1087068,-79.946999,275
RW2_Back,120,36.1081849,-79.9476486,275
RW2_Front,150,36.110081,-79.9452461,275
RW2_Back,150,36.1099027,-79.9454575,275
RW2_Front,180,36.1112834,-79.9437124,275
RW2_Back,180,36.1114487,-79.9434856,275
RW2_Front,210,36.1123141,-79.9423977,275
RW2_Back,210,36.1126511,-79.9419518,275
RW2_Front,240,36.1133447,-79.9410831,275
RW2_Back,240,36.1136818,-79.9406372,275
RW3_A,0,36.0982375,-79.9509226,275
RW3_B,0,36.0882978,-79.9387404,275
RW3_A,30,36.0963738,-79.9486385,275
RW3_B,30,36.0901615,-79.9410245,275
RW3_A,60,36.0945101,-79.9463543,275
RW3_B,60,36.0920252,-79.9433087,275
RW3_A,90,36.0935161,-79.9451361,275
RW3_B,90,36.0930191,-79.9445269,275
RW3_A,120,36.0932676,-79.9448315,275
RW3_B,120,36.0932676,-79.9448315,275
RW3_A,150,36.0922737,-79.9436133,275
RW3_B,150,36.0942616,-79.9460497,275
RW3_A,180,36.0907827,-79.9417859,275
RW3_B,180,36.0957526,-79.9478771,275
RW3_A,210,36.0892917,-79.9399586,275
RW3_B,210,36.0972436,-79.9497044,275
RW3_A,240,36.0880493,-79.9384358,275
RW3_B,240,36.098486,-79.9512272,275
